Date,Description,Debit,Credit,Balance
2021-07-06,ZELLE TO FRIEND,123.63,,113550.86
2021-07-07,STARBUCKS STORE,30.64,,113520.22
2021-07-09,FRESH MARKET,83.01,,113437.21
2021-07-10,COSTCO WHSE,103.17,,113334.04
2021-07-10,COSTCO WHSE,31.89,,113302.15
2021-07-11,PIZZA HUT,58.79,,113243.36
2021-07-11,DISNEYPLUS,15.45,,113227.91
2021-07-12,AMC THEATRES,63.20,,113164.71
2021-07-13,FRESH MARKET,114.79,,113049.92
2021-07-13,TARGET.COM,182.29,,112867.63
2021-07-14,KROGER #1190,71.69,,112795.94
2021-07-15,LYFT RIDE,40.92,,112755.02
2021-07-15,AIRBNB *STAY,397.87,,112357.15
2021-07-16,ALDI 729,20.82,,112336.33
2021-07-16,PARKING GARAGE,67.12,,112269.21
2021-07-16,AMAZON MKTP,265.66,,112003.55
2021-07-17,SUSHI HOUSE,21.32,,111982.23
2021-07-17,METRO TRANSIT,16.29,,111965.94
2021-07-17,CHEVRON,70.98,,111894.96
2021-07-18,LOCAL BISTRO,44.80,,111850.16
2021-07-18,DENTAL CARE,154.28,,111695.88
2021-07-18,NETFLIX.COM,52.34,,111643.54
2021-07-19,WHOLE FOODS #4821,112.14,,111531.40
2021-07-21,AMAZON.COM,183.07,,111348.33
2021-07-22,SHELL OIL,21.21,,111327.12
2021-07-23,SUSHI HOUSE,14.60,,111312.52
2021-07-23,NIKE STORE,61.69,,111250.83
2021-07-24,ELECTRIC COMPANY,175.25,,111075.58
2021-07-24,GAS UTILITY,117.99,,110957.59
2021-07-25,ELECTRIC COMPANY,153.60,,110803.99
2021-07-25,WALMART SUPERCENTER,63.38,,110740.61
2021-07-25,SHELL OIL,46.87,,110693.74
2021-07-28,PIZZA HUT,12.49,,110681.25
2021-07-29,PARKING GARAGE,57.38,,110623.87
2021-07-31,SUSHI HOUSE,51.46,,110572.41
2021-07-31,BEST BUY,136.53,,110435.88
2021-08-01,AMAZON.COM,82.12,,110353.76
2021-08-03,ACH CREDIT EMPLOYER PAYROLL,,6268.81,116622.57
2021-08-03,BILL PAY RENT LANDLORD,1593.81,,115028.76
2021-08-04,WHOLE FOODS #4821,57.97,,114970.79
2021-08-04,EZ PASS TOLL,26.34,,114944.45
2021-08-06,WHOLE FOODS #4821,108.35,,114836.10
2021-08-06,EZ PASS TOLL,31.51,,114804.59
2021-08-06,DENTAL CARE,62.26,,114742.33
2021-08-07,ELECTRIC COMPANY,100.28,,114642.05
2021-08-07,WHOLE FOODS #4821,43.43,,114598.62
2021-08-08,CHEVRON,22.55,,114576.07
2021-08-09,LYFT RIDE,7.32,,114568.75
2021-08-09,TICKETMASTER,61.47,,114507.28
2021-08-11,CHEVRON,22.63,,114484.65
2021-08-11,CHEVRON,39.25,,114445.40
2021-08-12,FRESH MARKET,80.03,,114365.37
2021-08-12,ALDI 729,146.44,,114218.93
2021-08-12,AMC THEATRES,25.04,,114193.89
2021-08-13,DENTAL CARE,169.96,,114023.93
2021-08-16,HOTEL BOOKING,685.54,,113338.39
2021-08-17,BEST BUY,222.56,,113115.83
2021-08-18,DOORDASH*RESTAURANT,27.90,,113087.93
2021-08-18,MCDONALD'S,29.87,,113058.06
2021-08-21,UBER EATS,48.49,,113009.57
2021-08-22,METRO TRANSIT,61.57,,112948.00
2021-08-22,AMAZON MKTP,110.15,,112837.85
2021-08-22,NETFLIX.COM,58.49,,112779.36
2021-08-24,MCDONALD'S,82.80,,112696.56
2021-08-24,LYFT RIDE,10.33,,112686.23
2021-08-25,ELECTRIC COMPANY,137.29,,112548.94
2021-08-25,BEST BUY,225.40,,112323.54
2021-08-26,WHOLE FOODS #4821,136.85,,112186.69
2021-08-26,PIZZA HUT,58.44,,112128.25
2021-08-27,COSTCO WHSE,144.96,,111983.29
2021-08-27,LOCAL BISTRO,62.69,,111920.60
2021-08-27,STEAM GAMES,46.89,,111873.71
2021-08-28,SUSHI HOUSE,9.21,,111864.50
2021-08-29,PIZZA HUT,79.71,,111784.79
2021-08-31,VENMO PAYMENT,180.30,,111604.49
2021-09-01,ACH CREDIT EMPLOYER PAYROLL,,6360.80,117965.29
2021-09-01,APPLE.COM/BILL,218.31,,117746.98
2021-09-02,UBER TRIP,37.31,,117709.67
2021-09-03,BILL PAY RENT LANDLORD,1558.38,,116151.29
2021-09-03,AMAZON.COM,278.51,,115872.78
2021-09-04,TRADER JOE'S,154.03,,115718.75
2021-09-04,CHEVRON,46.23,,115672.52
2021-09-07,LYFT RIDE,17.65,,115654.87
2021-09-08,TRADER JOE'S,91.82,,115563.05
2021-09-08,TRADER JOE'S,125.96,,115437.09
2021-09-11,VENMO CASHOUT,,877.08,116314.17
2021-09-11,CHEVRON,68.77,,116245.40
2021-09-13,GAS UTILITY,113.41,,116131.99
2021-09-13,DOORDASH*RESTAURANT,10.90,,116121.09
2021-09-13,HOME DEPOT,76.09,,116045.00
2021-09-15,SUSHI HOUSE,31.37,,116013.63
2021-09-16,FRESH MARKET,22.01,,115991.62
2021-09-16,DOORDASH*RESTAURANT,25.56,,115966.06
2021-09-16,UBER EATS,77.81,,115888.25
2021-09-18,DISNEYPLUS,47.77,,115840.48
2021-09-19,ZELLE TO FRIEND,273.64,,115566.84
2021-09-20,LOCAL BISTRO,8.32,,115558.52
2021-09-20,HOME DEPOT,270.36,,115288.16
2021-09-21,WALMART SUPERCENTER,108.07,,115180.09
2021-09-21,CHIPOTLE ONLINE,18.16,,115161.93
2021-09-22,FRESH MARKET,80.93,,115081.00
2021-09-23,CHEVRON,51.71,,115029.29
2021-09-24,PARKING GARAGE,64.56,,114964.73
2021-09-24,AMAZON.COM,89.13,,114875.60
2021-09-26,VERIZON WIRELESS,191.42,,114684.18
2021-09-26,DOORDASH*RESTAURANT,81.28,,114602.90
2021-09-26,AMAZON.COM,39.15,,114563.75
2021-09-26,CVS/PHARMACY,145.86,,114417.89
2021-09-26,NETFLIX.COM,44.80,,114373.09
2021-09-28,NETFLIX.COM,59.59,,114313.50
2021-09-29,SHELL OIL,70.33,,114243.17
2021-09-30,DOORDASH*RESTAURANT,23.32,,114219.85
2021-09-30,LYFT RIDE,11.22,,114208.63
2021-10-02,ACH CREDIT EMPLOYER PAYROLL,,6414.28,120622.91
2021-10-02,TRADER JOE'S,133.80,,120489.11
2021-10-02,LYFT RIDE,60.87,,120428.24
2021-10-03,BILL PAY RENT LANDLORD,1593.69,,118834.55
2021-10-03,SUSHI HOUSE,47.32,,118787.23
2021-10-03,CHEVRON,32.57,,118754.66
2021-10-07,KROGER #1190,94.29,,118660.37
2021-10-07,SUSHI HOUSE,12.22,,118648.15
2021-10-08,SHELL OIL,30.31,,118617.84
2021-10-08,WALGREENS,208.32,,118409.52
2021-10-08,ATM WITHDRAWAL,40.05,,118369.47
2021-10-09,ELECTRIC COMPANY,82.91,,118286.56
2021-10-09,ALDI 729,94.95,,118191.61
2021-10-10,APPLE.COM/BILL,138.51,,118053.10
2021-10-11,DISNEYPLUS,31.19,,118021.91
2021-10-12,GAS UTILITY,101.25,,117920.66
2021-10-13,COSTCO WHSE,150.80,,117769.86
2021-10-13,CHEVRON,54.34,,117715.52
2021-10-15,NIKE STORE,73.07,,117642.45
2021-10-18,CITY WATER BILL,154.52,,117487.93
2021-10-19,PIZZA HUT,16.02,,117471.91
2021-10-19,AMAZON MKTP,97.97,,117373.94
2021-10-19,TICKETMASTER,16.32,,117357.62
2021-10-20,SUSHI HOUSE,33.03,,117324.59
2021-10-20,NIKE STORE,19.40,,117305.19
2021-10-21,IKEA,167.71,,117137.48
2021-10-22,ALDI 729,127.96,,117009.52
2021-10-22,EZ PASS TOLL,70.14,,116939.38
2021-10-22,CHEVRON,12.63,,116926.75
2021-10-23,PAYPAL TRANSFER,,230.37,117157.12
2021-10-24,ELECTRIC COMPANY,128.66,,117028.46
2021-10-24,EZ PASS TOLL,8.92,,117019.54
2021-10-25,WALMART SUPERCENTER,116.97,,116902.57
2021-10-26,STARBUCKS STORE,7.16,,116895.41
2021-10-26,UBER EATS,33.96,,116861.45
2021-10-26,SHELL OIL,42.76,,116818.69
2021-10-29,COSTCO WHSE,105.35,,116713.34
2021-10-31,PARKING GARAGE,66.06,,116647.28
2021-10-31,TARGET.COM,83.60,,116563.68
2021-10-31,TICKETMASTER,26.58,,116537.10
2021-11-01,ACH CREDIT EMPLOYER PAYROLL,,6341.97,122879.07
2021-11-01,KROGER #1190,90.79,,122788.28
2021-11-01,SHELL OIL,40.11,,122748.17
2021-11-01,PLANET FITNESS,26.20,,122721.97
2021-11-03,BILL PAY RENT LANDLORD,1572.46,,121149.51
2021-11-03,SHELL OIL,29.58,,121119.93
2021-11-04,WALGREENS,191.33,,120928.60
2021-11-05,UBER EATS,8.30,,120920.30
2021-11-06,WALMART SUPERCENTER,34.25,,120886.05
2021-11-06,NIKE STORE,89.79,,120796.26
2021-11-07,MCDONALD'S,24.17,,120772.09
2021-11-07,BEST BUY,14.94,,120757.15
2021-11-07,AMAZON.COM,226.72,,120530.43
2021-11-08,COMCAST CABLE,59.21,,120471.22
2021-11-08,FRESH MARKET,30.80,,120440.42
2021-11-11,BEST BUY,49.96,,120390.46
2021-11-11,ETSY.COM,46.77,,120343.69
2021-11-12,CITY WATER BILL,65.00,,120278.69
2021-11-12,PARKING GARAGE,8.53,,120270.16
2021-11-14,VERIZON WIRELESS,82.98,,120187.18
2021-11-14,UBER EATS,51.25,,120135.93
2021-11-14,CITY MEDICAL CLINIC,174.96,,119960.97
2021-11-16,TRADER JOE'S,47.70,,119913.27
2021-11-16,TRADER JOE'S,158.42,,119754.85
2021-11-16,APPLE.COM/BILL,120.07,,119634.78
2021-11-18,DOORDASH*RESTAURANT,59.58,,119575.20
2021-11-19,AMAZON.COM,156.56,,119418.64
2021-11-20,LYFT RIDE,67.69,,119350.95
2021-11-21,SHELL OIL,50.78,,119300.17
2021-11-21,STEAM GAMES,45.52,,119254.65
2021-11-22,COSTCO WHSE,103.61,,119151.04
2021-11-22,UBER EATS,22.42,,119128.62
2021-11-23,KROGER #1190,65.75,,119062.87
2021-11-23,CHEVRON,44.84,,119018.03
2021-11-23,BEST BUY,203.28,,118814.75
2021-11-24,STEAM GAMES,13.31,,118801.44
2021-11-25,UBER TRIP,16.27,,118785.17
2021-11-27,TICKETMASTER,15.11,,118770.06
2021-11-28,SUSHI HOUSE,34.87,,118735.19
2021-11-28,CHIPOTLE ONLINE,64.29,,118670.90
2021-11-29,SHELL OIL,68.43,,118602.47
2021-11-29,EZ PASS TOLL,62.26,,118540.21
2021-11-30,ALDI 729,74.14,,118466.07
2021-12-01,PIZZA HUT,59.10,,118406.97
2021-12-01,LYFT RIDE,54.83,,118352.14
2021-12-01,AMAZON.COM,45.95,,118306.19
2021-12-01,PLANET FITNESS,183.89,,118122.30
2021-12-02,UBER EATS,15.04,,118107.26
2021-12-02,AMAZON MKTP,249.25,,117858.01
2021-12-03,ACH CREDIT EMPLOYER PAYROLL,,6392.78,124250.79
2021-12-03,BILL PAY RENT LANDLORD,1566.02,,122684.77
2021-12-03,UBER TRIP,35.71,,122649.06
2021-12-05,LYFT RIDE,37.24,,122611.82
2021-12-10,KROGER #1190,124.70,,122487.12
2021-12-10,EZ PASS TOLL,55.03,,122432.09
2021-12-11,ZELLE FROM CLIENT,,977.04,123409.13
2021-12-11,CITY WATER BILL,151.37,,123257.76
2021-12-11,FRESH MARKET,82.48,,123175.28
2021-12-12,STARBUCKS STORE,51.69,,123123.59
2021-12-14,PARKING GARAGE,66.83,,123056.76
2021-12-15,ACH CREDIT YEAR END BONUS,,1785.34,124842.10
2021-12-15,VERIZON WIRELESS,61.66,,124780.44
2021-12-15,TRADER JOE'S,79.77,,124700.67
2021-12-15,EZ PASS TOLL,65.37,,124635.30
2021-12-17,ELECTRIC COMPANY,55.05,,124580.25
2021-12-19,COSTCO WHSE,54.88,,124525.37
2021-12-19,CHEVRON,57.42,,124467.95
2021-12-20,FRESH MARKET,146.96,,124320.99
2021-12-22,METRO TRANSIT,30.96,,124290.03
2021-12-25,PIZZA HUT,69.03,,124221.00
2021-12-26,COSTCO WHSE,141.92,,124079.08
2021-12-26,NETFLIX.COM,12.51,,124066.57
2021-12-27,STARBUCKS STORE,79.46,,123987.11
2021-12-27,CVS/PHARMACY,126.78,,123860.33
2021-12-28,UBER EATS,39.03,,123821.30
2021-12-28,LYFT RIDE,56.36,,123764.94
2021-12-28,AMAZON.COM,185.32,,123579.62
2021-12-29,EZ PASS TOLL,43.83,,123535.79
2021-12-29,SPOTIFY USA,37.94,,123497.85
2021-12-30,ZELLE TO FRIEND,197.40,,123300.45
2021-12-31,PARKING GARAGE,16.81,,123283.64
2022-01-01,ACH CREDIT EMPLOYER PAYROLL,,6781.30,130064.94
2022-01-01,IKEA,122.42,,129942.52
2022-01-02,WHOLE FOODS #4821,34.08,,129908.44
2022-01-02,ALDI 729,103.04,,129805.40
2022-01-02,UBER TRIP,34.02,,129771.38
2022-01-03,BILL PAY RENT LANDLORD,1601.87,,128169.51
2022-01-03,STEAM GAMES,29.43,,128140.08
2022-01-04,LOCAL BISTRO,77.01,,128063.07
2022-01-04,CITY MEDICAL CLINIC,116.61,,127946.46
2022-01-05,NETFLIX.COM,38.94,,127907.52
2022-01-06,PIZZA HUT,65.05,,127842.47
2022-01-07,LYFT RIDE,71.87,,127770.60
2022-01-07,AMAZON MKTP,265.43,,127505.17
2022-01-08,VERIZON WIRELESS,142.45,,127362.72
2022-01-08,METRO TRANSIT,14.23,,127348.49
2022-01-08,DENTAL CARE,27.49,,127321.00
2022-01-09,MCDONALD'S,18.80,,127302.20
2022-01-09,TARGET.COM,74.39,,127227.81
2022-01-10,CHIPOTLE ONLINE,53.32,,127174.49
2022-01-11,METRO TRANSIT,27.82,,127146.67
2022-01-13,LYFT RIDE,49.31,,127097.36
2022-01-14,VERIZON WIRELESS,162.68,,126934.68
2022-01-14,STARBUCKS STORE,23.93,,126910.75
2022-01-15,VERIZON WIRELESS,146.52,,126764.23
2022-01-15,ALDI 729,23.66,,126740.57
2022-01-15,INSURANCE ANNUAL PREMIUM,1140.07,,125600.50
2022-01-16,VENMO CASHOUT,,764.57,126365.07
2022-01-16,METRO TRANSIT,32.49,,126332.58
2022-01-17,HOME DEPOT,18.58,,126314.00
2022-01-19,WHOLE FOODS #4821,30.12,,126283.88
2022-01-19,HOME DEPOT,240.11,,126043.77
2022-01-20,AMAZON MKTP,158.65,,125885.12
2022-01-21,METRO TRANSIT,69.77,,125815.35
2022-01-22,CHIPOTLE ONLINE,56.84,,125758.51
2022-01-23,DOORDASH*RESTAURANT,14.39,,125744.12
2022-01-24,LOCAL BISTRO,56.48,,125687.64
2022-01-25,COSTCO WHSE,112.50,,125575.14
2022-01-25,MCDONALD'S,12.13,,125563.01
2022-01-27,LOCAL BISTRO,22.90,,125540.11
2022-01-27,PARKING GARAGE,27.79,,125512.32
2022-01-27,STEAM GAMES,32.92,,125479.40
2022-01-28,COSTCO WHSE,96.31,,125383.09
2022-01-28,UBER TRIP,25.49,,125357.60
2022-01-30,WHOLE FOODS #4821,96.27,,125261.33
2022-01-30,SHELL OIL,24.30,,125237.03
2022-01-30,PARKING GARAGE,29.10,,125207.93
2022-01-30,CHEVRON,68.97,,125138.96
2022-02-01,WALMART SUPERCENTER,132.50,,125006.46
2022-02-01,LOCAL BISTRO,10.98,,124995.48
2022-02-02,UBER EATS,31.72,,124963.76
2022-02-02,SHELL OIL,10.77,,124952.99
2022-02-02,AMAZON.COM,183.08,,124769.91
2022-02-03,ACH CREDIT EMPLOYER PAYROLL,,6544.87,131314.78
2022-02-03,BILL PAY RENT LANDLORD,1603.15,,129711.63
2022-02-03,AMAZON MKTP,91.61,,129620.02
2022-02-05,CITY WATER BILL,53.37,,129566.65
2022-02-05,GAS UTILITY,159.56,,129407.09
2022-02-05,LOCAL BISTRO,19.13,,129387.96
2022-02-06,WHOLE FOODS #4821,156.40,,129231.56
2022-02-07,METRO TRANSIT,31.09,,129200.47
2022-02-08,WHOLE FOODS #4821,129.46,,129071.01
2022-02-08,UBER TRIP,68.37,,129002.64
2022-02-08,AMC THEATRES,55.86,,128946.78
2022-02-10,DISNEYPLUS,9.87,,128936.91
2022-02-12,KROGER #1190,77.36,,128859.55
2022-02-13,LYFT RIDE,7.72,,128851.83
2022-02-14,MCDONALD'S,20.66,,128831.17
2022-02-14,CVS/PHARMACY,160.11,,128671.06
2022-02-14,NETFLIX.COM,49.06,,128622.00
2022-02-15,PARKING GARAGE,8.76,,128613.24
2022-02-15,AMAZON.COM,167.24,,128446.00
2022-02-16,KROGER #1190,58.56,,128387.44
2022-02-16,TARGET.COM,129.98,,128257.46
2022-02-17,UBER TRIP,38.41,,128219.05
2022-02-18,METRO TRANSIT,45.88,,128173.17
2022-02-18,BEST BUY,217.22,,127955.95
2022-02-19,SHELL OIL,38.68,,127917.27
2022-02-19,AMAZON.COM,147.71,,127769.56
2022-02-20,UBER TRIP,5.72,,127763.84
2022-02-21,FRESH MARKET,35.71,,127728.13
2022-02-21,PARKING GARAGE,35.19,,127692.94
2022-02-22,CITY WATER BILL,35.16,,127657.78
2022-02-22,FRESH MARKET,72.41,,127585.37
2022-02-22,STARBUCKS STORE,47.61,,127537.76
2022-02-23,PIZZA HUT,30.27,,127507.49
2022-02-24,EZ PASS TOLL,66.19,,127441.30
2022-02-24,METRO TRANSIT,33.43,,127407.87
2022-02-26,MCDONALD'S,59.52,,127348.35
2022-02-26,LOCAL BISTRO,30.34,,127318.01
2022-02-28,UBER EATS,67.92,,127250.09
2022-03-01,CHEVRON,38.13,,127211.96
2022-03-01,PLANET FITNESS,157.06,,127054.90
2022-03-02,ACH CREDIT EMPLOYER PAYROLL,,6578.91,133633.81
2022-03-03,BILL PAY RENT LANDLORD,1630.82,,132002.99
2022-03-03,MCDONALD'S,68.09,,131934.90
2022-03-05,KROGER #1190,98.67,,131836.23
2022-03-06,TRADER JOE'S,122.53,,131713.70
2022-03-06,ATM WITHDRAWAL,213.42,,131500.28
2022-03-07,MCDONALD'S,81.77,,131418.51
2022-03-07,STARBUCKS STORE,41.96,,131376.55
2022-03-07,CHEVRON,4.47,,131372.08
2022-03-07,CHEVRON,35.88,,131336.20
2022-03-08,TARGET.COM,31.32,,131304.88
2022-03-10,TRADER JOE'S,25.44,,131279.44
2022-03-10,DOORDASH*RESTAURANT,55.67,,131223.77
2022-03-10,CHEVRON,21.67,,131202.10
2022-03-11,SHELL OIL,66.14,,131135.96
2022-03-11,EZ PASS TOLL,24.60,,131111.36
2022-03-13,ELECTRIC COMPANY,105.04,,131006.32
2022-03-13,SUSHI HOUSE,8.55,,130997.77
2022-03-13,NETFLIX.COM,27.75,,130970.02
2022-03-14,KROGER #1190,153.18,,130816.84
2022-03-14,MCDONALD'S,79.98,,130736.86
2022-03-14,EZ PASS TOLL,8.58,,130728.28
2022-03-15,KROGER #1190,63.67,,130664.61
2022-03-15,CHEVRON,27.25,,130637.36
2022-03-15,APPLE.COM/BILL,149.41,,130487.95
2022-03-16,WHOLE FOODS #4821,61.12,,130426.83
2022-03-18,VERIZON WIRELESS,140.30,,130286.53
2022-03-18,SHELL OIL,43.78,,130242.75
2022-03-21,WHOLE FOODS #4821,94.66,,130148.09
2022-03-21,WALGREENS,77.49,,130070.60
2022-03-22,WALMART SUPERCENTER,85.03,,129985.57
2022-03-22,LOCAL BISTRO,61.99,,129923.58
2022-03-22,UBER TRIP,22.40,,129901.18
2022-03-23,METRO TRANSIT,25.24,,129875.94
2022-03-24,SPOTIFY USA,29.05,,129846.89
2022-03-24,SPOTIFY USA,60.24,,129786.65
2022-03-25,WHOLE FOODS #4821,135.97,,129650.68
2022-03-25,STARBUCKS STORE,59.90,,129590.78
2022-03-25,CVS/PHARMACY,197.44,,129393.34
2022-03-25,NETFLIX.COM,33.30,,129360.04
2022-03-28,AMAZON.COM,241.35,,129118.69
2022-03-30,IKEA,92.66,,129026.03
2022-03-31,SHELL OIL,58.73,,128967.30
2022-04-01,ACH CREDIT EMPLOYER PAYROLL,,6789.38,135756.68
2022-04-01,APPLE.COM/BILL,203.33,,135553.35
2022-04-01,TICKETMASTER,34.66,,135518.69
2022-04-02,TARGET.COM,220.32,,135298.37
2022-04-03,BILL PAY RENT LANDLORD,1614.18,,133684.19
2022-04-03,CHIPOTLE ONLINE,39.93,,133644.26
2022-04-03,PARKING GARAGE,13.13,,133631.13
2022-04-06,COSTCO WHSE,125.25,,133505.88
2022-04-06,EZ PASS TOLL,42.83,,133463.05
2022-04-06,UBER TRIP,25.89,,133437.16
2022-04-07,GAS UTILITY,157.69,,133279.47
2022-04-07,PARKING GARAGE,47.41,,133232.06
2022-04-09,AMAZON.COM,29.50,,133202.56
2022-04-09,ATM WITHDRAWAL,228.14,,132974.42
2022-04-10,COSTCO WHSE,66.98,,132907.44
2022-04-11,WHOLE FOODS #4821,27.83,,132879.61
2022-04-11,CITY MEDICAL CLINIC,45.42,,132834.19
2022-04-11,IRS USATAXPYMT,1307.01,,131527.18
2022-04-12,CITY WATER BILL,123.79,,131403.39
2022-04-12,CHEVRON,20.09,,131383.30
2022-04-12,AMAZON MKTP,90.53,,131292.77
2022-04-14,GAS UTILITY,38.35,,131254.42
2022-04-15,PIZZA HUT,39.81,,131214.61
2022-04-15,UBER EATS,42.88,,131171.73
2022-04-16,CVS/PHARMACY,26.55,,131145.18
2022-04-17,PAYPAL TRANSFER,,802.29,131947.47
2022-04-17,COMCAST CABLE,192.43,,131755.04
2022-04-17,COSTCO WHSE,70.15,,131684.89
2022-04-17,LYFT RIDE,45.02,,131639.87
2022-04-18,COSTCO WHSE,141.42,,131498.45
2022-04-18,SUSHI HOUSE,32.04,,131466.41
2022-04-18,AMC THEATRES,54.72,,131411.69
2022-04-19,PARKING GARAGE,61.77,,131349.92
2022-04-20,SHELL OIL,31.16,,131318.76
2022-04-21,WHOLE FOODS #4821,146.39,,131172.37
2022-04-21,TRADER JOE'S,56.64,,131115.73
2022-04-21,LOCAL BISTRO,31.01,,131084.72
2022-04-22,IKEA,156.89,,130927.83
2022-04-24,CHEVRON,67.75,,130860.08
2022-04-27,EZ PASS TOLL,71.61,,130788.47
2022-04-29,ALDI 729,42.15,,130746.32
2022-04-29,DOORDASH*RESTAURANT,66.74,,130679.58
2022-04-29,SHELL OIL,26.29,,130653.29
2022-04-29,TARGET.COM,67.76,,130585.53
2022-04-30,FRESH MARKET,27.63,,130557.90
2022-04-30,AMC THEATRES,41.42,,130516.48
2022-05-01,SUSHI HOUSE,11.19,,130505.29
2022-05-01,UBER EATS,24.52,,130480.77
2022-05-01,SPOTIFY USA,12.83,,130467.94
2022-05-02,EZ PASS TOLL,66.92,,130401.02
2022-05-03,ACH CREDIT EMPLOYER PAYROLL,,6621.60,137022.62
2022-05-03,BILL PAY RENT LANDLORD,1602.60,,135420.02
2022-05-03,METRO TRANSIT,55.91,,135364.11
2022-05-03,EZ PASS TOLL,55.83,,135308.28
2022-05-06,FRESH MARKET,132.44,,135175.84
2022-05-07,WHOLE FOODS #4821,36.06,,135139.78
2022-05-07,NIKE STORE,278.62,,134861.16
2022-05-08,PIZZA HUT,58.24,,134802.92
2022-05-08,UBER TRIP,6.43,,134796.49
2022-05-09,ELECTRIC COMPANY,110.86,,134685.63
2022-05-09,SUSHI HOUSE,70.56,,134615.07
2022-05-09,LYFT RIDE,30.93,,134584.14
2022-05-09,STEAM GAMES,18.60,,134565.54
2022-05-11,WHOLE FOODS #4821,46.68,,134518.86
2022-05-11,CHIPOTLE ONLINE,74.44,,134444.42
2022-05-11,IKEA,66.74,,134377.68
2022-05-13,WHOLE FOODS #4821,155.08,,134222.60
2022-05-13,ALDI 729,81.18,,134141.42
2022-05-13,PLANET FITNESS,118.96,,134022.46
2022-05-14,COMCAST CABLE,51.45,,133971.01
2022-05-14,SHELL OIL,63.07,,133907.94
2022-05-15,ELECTRIC COMPANY,102.21,,133805.73
2022-05-15,CHEVRON,5.43,,133800.30
2022-05-17,PIZZA HUT,53.98,,133746.32
2022-05-19,WHOLE FOODS #4821,36.75,,133709.57
2022-05-22,HOME DEPOT,131.71,,133577.86
2022-05-23,AMC THEATRES,36.67,,133541.19
2022-05-25,GAS UTILITY,164.12,,133377.07
2022-05-28,LYFT RIDE,60.93,,133316.14
2022-05-30,TRADER JOE'S,147.78,,133168.36
2022-05-30,SUSHI HOUSE,76.85,,133091.51
2022-05-30,UBER TRIP,37.31,,133054.20
2022-05-30,AMC THEATRES,57.25,,132996.95
2022-05-31,PLANET FITNESS,145.66,,132851.29
2022-06-01,ACH CREDIT EMPLOYER PAYROLL,,6633.65,139484.94
2022-06-01,ALDI 729,159.58,,139325.36
2022-06-02,FRESH MARKET,72.21,,139253.15
2022-06-02,LOCAL BISTRO,47.90,,139205.25
2022-06-02,DOORDASH*RESTAURANT,45.42,,139159.83
2022-06-03,BILL PAY RENT LANDLORD,1619.17,,137540.66
2022-06-03,UBER EATS,78.98,,137461.68
2022-06-03,PARKING GARAGE,24.75,,137436.93
2022-06-04,NETFLIX.COM,50.92,,137386.01
2022-06-05,WALMART SUPERCENTER,44.63,,137341.38
2022-06-05,LOCAL BISTRO,35.96,,137305.42
2022-06-05,EZ PASS TOLL,28.26,,137277.16
2022-06-06,FRESH MARKET,72.47,,137204.69
2022-06-08,UBER EATS,9.33,,137195.36
2022-06-10,LYFT RIDE,68.36,,137127.00
2022-06-12,BEST BUY,37.49,,137089.51
2022-06-12,BEST BUY,93.83,,136995.68
2022-06-13,WALMART SUPERCENTER,31.95,,136963.73
2022-06-13,WALMART SUPERCENTER,81.01,,136882.72
2022-06-13,LYFT RIDE,5.24,,136877.48
2022-06-13,SPOTIFY USA,25.05,,136852.43
2022-06-14,AMAZON.COM,133.41,,136719.02
2022-06-14,STEAM GAMES,36.11,,136682.91
2022-06-15,PARKING GARAGE,41.28,,136641.63
2022-06-17,VERIZON WIRELESS,37.76,,136603.87
2022-06-17,COMCAST CABLE,193.02,,136410.85
2022-06-18,MCDONALD'S,75.46,,136335.39
2022-06-19,PLANET FITNESS,21.88,,136313.51
2022-06-20,CHIPOTLE ONLINE,16.07,,136297.44
2022-06-20,NIKE STORE,257.80,,136039.64
2022-06-21,EZ PASS TOLL,27.36,,136012.28
2022-06-21,PARKING GARAGE,42.41,,135969.87
2022-06-21,TARGET.COM,38.99,,135930.88
2022-06-21,SPOTIFY USA,60.49,,135870.39
2022-06-22,ELECTRIC COMPANY,50.36,,135820.03
2022-06-22,UBER TRIP,44.61,,135775.42
2022-06-23,AMAZON.COM,161.04,,135614.38
2022-06-23,IKEA,147.36,,135467.02
2022-06-23,CITY MEDICAL CLINIC,87.79,,135379.23
2022-06-24,ACH CREDIT FREELANCE,,357.86,135737.09
2022-06-24,FRESH MARKET,105.77,,135631.32
2022-06-24,SPOTIFY USA,53.96,,135577.36
2022-06-25,ALDI 729,46.30,,135531.06
2022-06-25,PARKING GARAGE,23.90,,135507.16
2022-06-26,UBER EATS,9.20,,135497.96
2022-06-26,EZ PASS TOLL,68.06,,135429.90
2022-06-26,LYFT RIDE,6.40,,135423.50
2022-06-28,CITY MEDICAL CLINIC,166.79,,135256.71
2022-06-29,METRO TRANSIT,50.81,,135205.90
2022-06-30,METRO TRANSIT,39.69,,135166.21
2022-07-01,FRESH MARKET,76.16,,135090.05
2022-07-01,DOORDASH*RESTAURANT,21.26,,135068.79
2022-07-01,TICKETMASTER,64.40,,135004.39
2022-07-01,DISNEYPLUS,59.12,,134945.27
2022-07-02,ACH CREDIT EMPLOYER PAYROLL,,6698.73,141644.00
2022-07-02,LOCAL BISTRO,32.84,,141611.16
2022-07-03,BILL PAY RENT LANDLORD,1636.71,,139974.45
2022-07-04,METRO TRANSIT,53.21,,139921.24
